Context,"English","Gibberish","French","Spanish","German","Korean","BrazillianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"","Glass Bear Statue","Glass Bear Statue","Statue d'ours en verre","Estatua de oso de vidrio","Glasbärenstatue","유리 곰 동상","Estátua de urso de vidro","玻璃熊雕像","Стеклянная статуя медведя","Statua di orso in vetro","Estátua de urso de vidro","Üveg medve szobor","ガラスのクマの彫像","Glassbjørnstatue","Szklany posąg niedźwiedzia","Glazen Berenstandbeeld","Statuie cu urs din sticlă","Glasbjørnestatue","Skleněná socha medvěda","Glasbjörnstaty","","","","",""
"","Glass bear that's crystal clear about staying still - one wrong move and it's game over!","Glass bear that's crystal clear about staying still - one wrong move and it's game over!","Ours en verre qui est clair comme du cristal sur le fait de rester immobile - un faux mouvement et c'est la fin !","Oso de vidrio que es completamente transparente sobre quedarse quieto: ¡un movimiento en falso y se acabó el juego!","Ein Glasbär, der glasklar darüber ist, still zu bleiben - eine falsche Bewegung und das Spiel ist vorbei!","유리로 만든 곰은 가만히 있는 것에 대해 투명합니다. 잘못 움직이면 게임 오버입니다!","Urso de vidro que é totalmente transparente sobre ficar parado - um movimento em falso e é o fim do jogo!","玻璃熊对保持静止非常清楚 - 一旦移动错误就会游戏结束！","Стеклянный медведь, который совершенно прозрачен в отношении неподвижности - одно неверное движение, и игра окончена!","Orso di vetro che è cristallino nel rimanere fermo: un movimento sbagliato e il gioco è finito!","Urso de vidro que é totalmente transparente sobre ficar parado - um movimento em falso e é o fim do jogo!","Üveg medve, amely kristálytiszta a mozdulatlanságban - egy rossz mozdulat és vége a játéknak!","ガラスのクマはじっとしていることに関しては非常に明確です。間違った動きをするとゲームオーバーになります！","Glassbjørn som er krystallklar på å forbli stille - én feil bevegelse og spillet er over!","Szklany niedźwiedź, który jest krystalicznie czysty w pozostawaniu nieruchomym - jeden zły ruch i gra jest skończona!","Glazen beer die glashelder is over stilzitten - één verkeerde beweging en het spel is voorbij!","Urs de sticlă care este foarte clar în privința statului nemișcat - o mișcare greșită și jocul s-a terminat!","Glasbjørn som er krystalklart om at holde stille - ét forkert træk og spillet er forbi!","Skleněný medvěd, který je naprosto jasný ohledně setrvávání v klidu - jeden špatný pohyb a hra je u konce!","Glasbjörn som är kristallklar om att hålla sig still - ett fel drag och spelet är över!","","","","",""
"","Glass Lion Statue","Glass Lion Statue","Statue de lion en verre","Estatua de león de vidrio","Glaslöwenstatue","유리 사자 동상","Estátua de leão de vidro","玻璃狮子雕像","Стеклянная статуя льва","Statua di leone in vetro","Estátua de leão de vidro","Üveg oroszlán szobor","ガラスのライオンの彫像","Glassløvestatue","Szklany posąg lwa","Glazen Leeuwenstandbeeld","Statuie cu leu din sticlă","Glasløvestatue","Skleněná socha lva","Glaslejonstaty","","","","",""
"","Glass lion that's crystal clear about staying still - one wrong move and it's game over!","Glass lion that's crystal clear about staying still - one wrong move and it's game over!","Lion en verre qui est clair comme du cristal sur le fait de rester immobile - un faux mouvement et c'est la fin !","León de vidrio que es completamente transparente sobre quedarse quieto: ¡un movimiento en falso y se acabó el juego!","Ein Glaslöwe, der glasklar darüber ist, still zu bleiben - eine falsche Bewegung und das Spiel ist vorbei!","유리로 만든 사자는 가만히 있는 것에 대해 투명합니다. 잘못 움직이면 게임 오버입니다!","Leão de vidro que é totalmente transparente sobre ficar parado - um movimento em falso e é o fim do jogo!","玻璃狮子对保持静止非常清楚 - 一旦移动错误就会游戏结束！","Стеклянный лев, который совершенно прозрачен в отношении неподвижности - одно неверное движение, и игра окончена!","Leone di vetro che è cristallino nel rimanere fermo: un movimento sbagliato e il gioco è finito!","Leão de vidro que é totalmente transparente sobre ficar parado - um movimento em falso e é o fim do jogo!","Üveg oroszlán, amely kristálytiszta a mozdulatlanságban - egy rossz mozdulat és vége a játéknak!","ガラスのライオンはじっとしていることに関しては非常に明確です。間違った動きをするとゲームオーバーになります！","Glassløve som er krystallklar på å forbli stille - én feil bevegelse og spillet er over!","Szklany lew, który jest krystalicznie czysty w pozostawaniu nieruchomym - jeden zły ruch i gra jest skończona!","Glazen leeuw die glashelder is over stilzitten - één verkeerde beweging en het spel is voorbij!","Leu din sticlă care este foarte clar în privința statului nemișcat - o mișcare greșită și jocul s-a terminat!","Glasløve som er krystalklart om at holde stille - ét forkert træk og spillet er forbi!","Skleněný lev, který je naprosto jasný ohledně setrvávání v klidu - jeden špatný pohyb a hra je u konce!","Glaslejon som är kristallklart om att hålla sig still - ett fel drag och spelet är över!","","","","",""
"","Glass Penguin Statue","Glass Penguin Statue","Statue de pingouin en verre","Estatua de pingüino de vidrio","Glaspinguinstatue","유리 펭귄 동상","Estátua de pinguim de vidro","玻璃企鹅雕像","Стеклянная статуя пингвина","Statua di pinguino in vetro","Estátua de pinguim de vidro","Üveg pingvin szobor","ガラスのペンギンの彫像","Glasspingvinstatue","Szklany posąg pingwina","Glazen Pinguïnstandbeeld","Statuie cu pinguin din sticlă","Glasspingvinstatue","Skleněná socha tučňáka","Glaspingvinstaty","","","","",""
"","Glass penguin that's crystal clear about staying still - one wrong move and it's game over!","Glass penguin that's crystal clear about staying still - one wrong move and it's game over!","Pingouin en verre qui est clair comme du cristal sur le fait de rester immobile - un faux mouvement et c'est la fin !","Pingüino de vidrio que es completamente transparente sobre quedarse quieto: ¡un movimiento en falso y se acabó el juego!","Ein Glas-Pinguin, der glasklar darüber ist, still zu bleiben - eine falsche Bewegung und das Spiel ist vorbei!","유리로 만든 펭귄은 가만히 있는 것에 대해 투명합니다. 잘못 움직이면 게임 오버입니다!","Pinguim de vidro que é totalmente transparente sobre ficar parado - um movimento em falso e é o fim do jogo!","玻璃企鹅对保持静止非常清楚 - 一旦移动错误就会游戏结束！","Стеклянный пингвин, который совершенно прозрачен в отношении неподвижности - одно неверное движение, и игра окончена!","Pinguino di vetro che è cristallino nel rimanere fermo: un movimento sbagliato e il gioco è finito!","Pinguim de vidro que é totalmente transparente sobre ficar parado - um movimento em falso e é o fim do jogo!","Üveg pingvin, amely kristálytiszta a mozdulatlanságban - egy rossz mozdulat és vége a játéknak!","ガラスのペンギンはじっとしていることに関しては非常に明確です。間違った動きをするとゲームオーバーになります！","Glasspingvin som er krystallklar på å forbli stille - én feil bevegelse og spillet er over!","Szklany pingwin, który jest krystalicznie czysty w pozostawaniu nieruchomym - jeden zły ruch i gra jest skończona!","Glazen pinguïn die glashelder is over stilzitten - één verkeerde beweging en het spel is voorbij!","Pinguin din sticlă care este foarte clar în privința statului nemișcat - o mișcare greșită și jocul s-a terminat!","Glasspingvin som er krystalklart om at holde stille - ét forkert træk og spillet er forbi!","Skleněný tučňák, který je naprosto jasný ohledně setrvávání v klidu - jeden špatný pohyb a hra je u konce!","Glaspingvin som är kristallklar om att hålla sig still - ett fel drag och spelet är över!","","","","",""
"","Glass Pig Statue","Glass Pig Statue","Statue de cochon en verre","Estatua de cerdo de vidrio","Glas-Schweinestatue","유리 돼지 동상","Estátua de porco de vidro","玻璃猪雕像","Стеклянная статуя свиньи","Statua di maiale in vetro","Estátua de porco de vidro","Üveg disznó szobor","ガラスの豚の彫像","Glasssvinstatue","Szklany posąg świni","Glazen Varkensstandbeeld","Statuie cu porc din sticlă","Glasssvinstatue","Skleněná socha prasete","Glasgrisstaty","","","","",""
"","Glass pig that's crystal clear about staying still - one wrong move and it's game over!","Glass pig that's crystal clear about staying still - one wrong move and it's game over!","Cochon en verre qui est clair comme du cristal sur le fait de rester immobile - un faux mouvement et c'est la fin !","Cerdo de vidrio que es completamente transparente sobre quedarse quieto: ¡un movimiento en falso y se acabó el juego!","Ein Glas-Schwein, das glasklar darüber ist, still zu bleiben - eine falsche Bewegung und das Spiel ist vorbei!","유리로 만든 돼지는 가만히 있는 것에 대해 투명합니다. 잘못 움직이면 게임 오버입니다!","Porco de vidro que é totalmente transparente sobre ficar parado - um movimento em falso e é o fim do jogo!","玻璃猪对保持静止非常清楚 - 一旦移动错误就会游戏结束！","Стеклянная свинья, которая совершенно прозрачна в отношении неподвижности - одно неверное движение, и игра окончена!","Maiale di vetro che è cristallino nel rimanere fermo: un movimento sbagliato e il gioco è finito!","Porco de vidro que é totalmente transparente sobre ficar parado - um movimento em falso e é o fim do jogo!","Üveg disznó, amely kristálytiszta a mozdulatlanságban - egy rossz mozdulat és vége a játéknak!","ガラスの豚はじっとしていることに関しては非常に明確です。間違った動きをするとゲームオーバーになります！","Glassgris som er krystallklar på å forbli stille - én feil bevegelse og spillet er over!","Szklana świnia, która jest krystalicznie czysta w pozostawaniu nieruchomą - jeden zły ruch i gra jest skończona!","Glazen varken dat glashelder is over stilzitten - één verkeerde beweging en het spel is voorbij!","Porcul de sticlă care este foarte clar în privința statului nemișcat - o mișcare greșită și jocul s-a terminat!","Glassgris som er krystalklart om at holde stille - ét forkert træk og spillet er forbi!","Skleněné prase, které je naprosto jasné ohledně setrvávání v klidu - jeden špatný pohyb a hra je u konce!","Glasgris som är kristallklar om att hålla sig still - ett fel drag och spelet är över!","","","","",""
"","Golden Bear Statue","Golden Bear Statue","Statue d'ours en or","Estatua de oso de oro","Goldbärenstatue","황금 곰 동상","Estátua de urso dourado","金熊雕像","Золотая статуя медведя","Statua di orso d'oro","Estátua de urso dourado","Arany medve szobor","金のクマの彫像","Gullbjørnstatue","Złoty posąg niedźwiedzia","Gouden Berenstandbeeld","Statuie cu urs din aur","Guldbjørnestatue","Zlatá socha medvěda","Guldbjörnstaty","","","","",""
"","Golden bear that's worth its weight in... well, gold - and never needs to worry about market fluctuations!","Golden bear that's worth its weight in... well, gold - and never needs to worry about market fluctuations!","Ours en or qui vaut son pesant d'or - et qui n'a jamais à se soucier des fluctuations du marché !","Oso de oro que vale su peso en... bueno, oro, ¡y nunca tiene que preocuparse por las fluctuaciones del mercado!","Ein Goldbär, der sein Gewicht in Gold wert ist - und sich nie um Marktschwankungen kümmern muss!","금으로 만든 곰은 그 무게에 상응하는 가치가 있으며 시장 변동에 대해 걱정할 필요가 없습니다!","Urso dourado que vale o seu peso em... bem, ouro, e nunca precisa se preocupar com as flutuações do mercado!","金制的熊价值连城，永远不必担心市场波动！","Золотой медведь, который стоит своего веса в золоте и никогда не беспокоится о рыночных колебаниях!","Orso d'oro che vale il suo peso in... beh, oro, e non deve mai preoccuparsi delle fluttuazioni del mercato!","Urso de ouro que vale o seu peso em... bem, ouro, e nunca precisa se preocupar com as flutuações do mercado!","Arany medve, amely súlyának megfelelő értéket képvisel - és soha nem kell aggódnia a piaci ingadozások miatt!","金のクマはその重さに見合う価値があり、市場の変動を心配する必要はありません！","Gullbjørn som er verdt sin vekt i... vel, gull - og trenger aldri å bekymre seg for markedsfluktuasjoner!","Złoty niedźwiedź wart jest swojej wagi w złocie i nigdy nie musi martwić się o wahania rynku!","Gouden beer die zijn gewicht waard is in... nou ja, goud - en zich nooit zorgen hoeft te maken over marktfluctuaties!","Ursul de aur care valorează greutatea sa în... ei bine, aur - și nu trebuie să-și facă griji niciodată cu privire la fluctuațiile pieței!","Guldbjørn som er værd sin vægt i... nå, guld - og behøver aldrig bekymre sig om markedsudsving!","Zlatý medvěd, který je vážen v... no, zlato - a nikdy se nemusí obávat tržních výkyvů!","Guldbjörn som är värd sin vikt i... ja, guld - och behöver aldrig oroa sig för marknadsfluktuationer!","","","","",""
"","Golden Lion Statue","Golden Lion Statue","Statue de lion en or","Estatua de león de oro","Goldlöwenstatue","황금 사자 동상","Estátua de leão dourado","金狮子雕像","Золотая статуя льва","Statua di leone d'oro","Estátua de leão dourado","Arany oroszlán szobor","金のライオンの彫像","Gullløvestatue","Złoty posąg lwa","Gouden Leeuwenstandbeeld","Statuie cu leu din aur","Guldløvestatue","Zlatá socha lva","Guldlejonstaty","","","","",""
"","Golden lion that's worth its weight in... well, gold - and never needs to worry about market fluctuations!","Golden lion that's worth its weight in... well, gold - and never needs to worry about market fluctuations!","Lion en or qui vaut son pesant d'or - et qui n'a jamais à se soucier des fluctuations du marché !","León de oro que vale su peso en... bueno, oro, ¡y nunca tiene que preocuparse por las fluctuaciones del mercado!","Ein Goldlöwe, der sein Gewicht in Gold wert ist - und sich nie um Marktschwankungen kümmern muss!","금으로 만든 사자는 그 무게에 상응하는 가치가 있으며 시장 변동에 대해 걱정할 필요가 없습니다!","Leão dourado que vale o seu peso em... bem, ouro, e nunca precisa se preocupar com as flutuações do mercado!","金制的狮子价值连城，永远不必担心市场波动！","Золотой лев, который стоит своего веса в золоте и никогда не беспокоится о рыночных колебаниях!","Leone d'oro che vale il suo peso in... beh, oro, e non deve mai preoccuparsi delle fluttuazioni del mercato!","Leão de ouro que vale o seu peso em... bem, ouro, e nunca precisa se preocupar com as flutuações do mercado!","Arany oroszlán, amely súlyának megfelelő értéket képvisel - és soha nem kell aggódnia a piaci ingadozások miatt!","金のライオンはその重さに見合う価値があり、市場の変動を心配する必要はありません！","Gulløve som er verdt sin vekt i... vel, gull - og trenger aldri å bekymre seg for markedsfluktuasjoner!","Złoty lew wart jest swojej wagi w złocie i nigdy nie musi martwić się o wahania rynku!","Gouden leeuw die zijn gewicht waard is in... nou ja, goud - en zich nooit zorgen hoeft te maken over marktfluctuaties!","Leul de aur care valorează greutatea sa în... ei bine, aur - și nu trebuie să-și facă griji niciodată cu privire la fluctuațiile pieței!","Guldløve som er værd sin vægt i... nå, guld - og behøver aldrig bekymre sig om markedsudsving!","Zlatý lev, který je vážen v... no, zlato - a nikdy se nemusí obávat tržních výkyvů!","Guldlejon som är värd sin vikt i... ja, guld - och behöver aldrig oroa sig för marknadsfluktuationer!","","","","",""
"","Golden Penguin Statue","Golden Penguin Statue","Statue de pingouin en or","Estatua de pingüino de oro","Goldpinguinstatue","황금 펭귄 동상","Estátua de pinguim dourado","金企鹅雕像","Золотая статуя пингвина","Statua di pinguino d'oro","Estátua de pinguim dourado","Arany pingvin szobor","金のペンギンの彫像","Gullpingvinstatue","Złoty posąg pingwina","Gouden Pinguïnstandbeeld","Statuie cu pinguin din aur","Guldpingvinstatue","Zlatá socha tučňáka","Guldpingvinstaty","","","","",""
"","Golden penguin that's worth its weight in... well, gold - and never needs to worry about market fluctuations!","Golden penguin that's worth its weight in... well, gold - and never needs to worry about market fluctuations!","Pingouin en or qui vaut son pesant d'or - et qui n'a jamais à se soucier des fluctuations du marché !","Pingüino de oro que vale su peso en... bueno, oro, ¡y nunca tiene que preocuparse por las fluctuaciones del mercado!","Ein Gold-Pinguin, der sein Gewicht in Gold wert ist - und sich nie um Marktschwankungen kümmern muss!","금으로 만든 펭귄은 그 무게에 상응하는 가치가 있으며 시장 변동에 대해 걱정할 필요가 없습니다!","Pinguim dourado que vale o seu peso em... bem, ouro, e nunca precisa se preocupar com as flutuações do mercado!","金制的企鹅价值连城，永远不必担心市场波动！","Золотой пингвин, который стоит своего веса в золоте и никогда не беспокоится о рыночных колебаниях!","Pinguino d'oro che vale il suo peso in... beh, oro, e non deve mai preoccuparsi delle fluttuazioni del mercato!","Pinguim de ouro que vale o seu peso em... bem, ouro, e nunca precisa se preocupar com as flutuações do mercado!","Arany pingvin, amely súlyának megfelelő értéket képvisel - és soha nem kell aggódnia a piaci ingadozások miatt!","金のペンギンはその重さに見合う価値があり、市場の変動を心配する必要はありません！","Gullpingvin som er verdt sin vekt i... vel, gull - og trenger aldri å bekymre seg for markedsfluktuasjoner!","Złoty pingwin wart jest swojej wagi w złocie i nigdy nie musi martwić się o wahania rynku!","Gouden pinguïn die zijn gewicht waard is in... nou ja, goud - en zich nooit zorgen hoeft te maken over marktfluctuaties!","Pinguinul de aur care valorează greutatea sa în... ei bine, aur - și nu trebuie să-și facă griji niciodată cu privire la fluctuațiile pieței!","Guldpingvin som er værd sin vægt i... nå, guld - og behøver aldrig bekymre sig om markedsudsving!","Zlatý tučňák, který je vážen v... no, zlato - a nikdy se nemusí obávat tržních výkyvů!","Guldpingvin som är värd sin vikt i... ja, guld - och behöver aldrig oroa sig för marknadsfluktuationer!","","","","",""
"","Golden Pig Statue","Golden Pig Statue","Statue de cochon en or","Estatua de cerdo de oro","Goldschweinestatue","황금 돼지 동상","Estátua de porco dourado","金猪雕像","Золотая статуя свиньи","Statua di maiale d'oro","Estátua de porco dourado","Arany disznó szobor","金の豚の彫像","Gullsvinstatue","Złoty posąg świni","Gouden Varkensstandbeeld","Statuie cu porc din aur","Guldsvinstatue","Zlatá socha prasete","Guldsvinstaty","","","","",""
"","Golden pig that's worth its weight in... well, gold - and never needs to worry about market fluctuations!","Golden pig that's worth its weight in... well, gold - and never needs to worry about market fluctuations!","Cochon en or qui vaut son pesant d'or - et qui n'a jamais à se soucier des fluctuations du marché !","Cerdo de oro que vale su peso en... bueno, oro, ¡y nunca tiene que preocuparse por las fluctuaciones del mercado!","Ein Goldschwein, das sein Gewicht in Gold wert ist - und sich nie um Marktschwankungen kümmern muss!","금으로 만든 돼지는 그 무게에 상응하는 가치가 있으며 시장 변동에 대해 걱정할 필요가 없습니다!","Porco dourado que vale o seu peso em... bem, ouro, e nunca precisa se preocupar com as flutuações do mercado!","金制的猪价值连城，永远不必担心市场波动！","Золотая свинья, которая стоит своего веса в золоте и никогда не беспокоится о рыночных колебаниях!","Maiale d'oro che vale il suo peso in... beh, oro, e non deve mai preoccuparsi delle fluttuazioni del mercato!","Porco de ouro que vale o seu peso em... bem, ouro, e nunca precisa se preocupar com as flutuações do mercado!","Arany disznó, amely súlyának megfelelő értéket képvisel - és soha nem kell aggódnia a piaci ingadozások miatt!","金の豚はその重さに見合う価値があり、市場の変動を心配する必要はありません！","Gullgris som er verdt sin vekt i... vel, gull - og trenger aldri å bekymre seg for markedsfluktuasjoner!","Złota świnia warta jest swojej wagi w złocie i nigdy nie musi martwić się o wahania rynku!","Gouden varken dat zijn gewicht waard is in... nou ja, goud - en zich nooit zorgen hoeft te maken over marktfluctuaties!","Porcul de aur care valorează greutatea sa în... ei bine, aur - și nu trebuie să-și facă griji niciodată cu privire la fluctuațiile pieței!","Guldgris som er værd sin vægt i... nå, guld - og behøver aldrig bekymre sig om markedsudsving!","Zlaté prase, které je váženo v... no, zlato - a nikdy se nemusí obávat tržních výkyvů!","Guldgris som är värd sin vikt i... ja, guld - och behöver aldrig oroa sig för marknadsfluktuationer!","","","","",""
