Context,"English","Gibberish","French","Spanish","German","Korean","BrazillianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"","Compactor Roller","Compactor Roller","Rouleau compacteur","Rodillo compactador","Verdichtungswalze","","","","","","","","","","","","","","","","","","","",""
"","A heavy iron roller used in the Road Compactor to flatten dirt into smooth roads. Wears down with use.","A heavy iron roller used in the Road Compactor to flatten dirt into smooth roads. Wears down with use.","Un lourd rouleau en fer utilisé dans le Compacteur routier pour aplanir la terre en routes lisses. S'use avec l'utilisation.","Un rodillo pesado de hierro utilizado en el Compactador de caminos para alisar la tierra en caminos lisos. Se desgasta con el uso.","Eine schwere Eisenwalze, die im Straßenwalze verwendet wird, um Erde zu glatten Straßen zu ebnen. Nutzt sich mit der Zeit ab.","","","","","","","","","","","","","","","","","","","",""
"","Reel Blade Assembly","Reel Blade Assembly","Ensemble de lames hélicoïdales","Conjunto de cuchillas de carrete","Spindelmesser-Baugruppe","","","","","","","","","","","","","","","","","","","",""
"","A set of spinning blades used in the Rustic Lawnmower to cut grass into plant fibers. Wears down with use.","A set of spinning blades used in the Rustic Lawnmower to cut grass into plant fibers. Wears down with use.","Un ensemble de lames rotatives utilisé dans la Tondeuse rustique pour couper l'herbe en fibres végétales. S'use avec l'utilisation.","Un conjunto de cuchillas giratorias utilizado en el Cortacésped rústico para cortar el césped en fibras vegetales. Se desgasta con el uso.","Ein Satz rotierender Klingen, der im Rustikalen Rasenmäher verwendet wird, um Gras zu Pflanzenfasern zu schneiden. Nutzt sich mit der Zeit ab.","","","","","","","","","","","","","","","","","","","",""
"","Seed Tray","Seed Tray","Plateau à graines","Bandeja de semillas","Saatschale","","","","","","","","","","","","","","","","","","","",""
"","An iron tray with evenly spaced seed tubes, used in the Wheeled Seed Drill to plant seeds into tilled soil. Wears down with use.","An iron tray with evenly spaced seed tubes, used in the Wheeled Seed Drill to plant seeds into tilled soil. Wears down with use.","Un plateau en fer avec des tubes à graines régulièrement espacés, utilisé dans le Semoir à roues pour planter des graines dans la terre labourée. S'use avec l'utilisation.","Una bandeja de hierro con tubos de semillas uniformemente espaciados, utilizada en la Sembradora con ruedas para plantar semillas en tierra arada. Se desgasta con el uso.","Eine Eisenschale mit gleichmäßig verteilten Saatröhren, die in der Radsämaschine verwendet wird, um Samen in gepflügten Boden zu pflanzen. Nutzt sich mit der Zeit ab.","","","","","","","","","","","","","","","","","","","",""
"","Cultivator Harrow","Cultivator Harrow","Herse cultivatrice","Rastra cultivadora","Grubberegge","","","","","","","","","","","","","","","","","","","",""
"","A set of iron cultivator discs used in the Wheeled Reaper to harvest crops from fields. Wears down with use.","A set of iron cultivator discs used in the Wheeled Reaper to harvest crops from fields. Wears down with use.","Un ensemble de disques cultivateurs en fer utilisé dans la Moissonneuse à roues pour récolter les cultures des champs. S'use avec l'utilisation.","Un conjunto de discos cultivadores de hierro utilizado en la Segadora con ruedas para cosechar cultivos de los campos. Se desgasta con el uso.","Ein Satz eiserner Grubberscheiben, der in der Radmähmaschine verwendet wird, um Feldfrüchte zu ernten. Nutzt sich mit der Zeit ab.","","","","","","","","","","","","","","","","","","","",""
"","Vehicles","Vehicles","Véhicules","Vehículos","Fahrzeuge","","","","","","","","","","","","","","","","","","","",""
"","calorie consumption","calorie consumption","consommation calorique","consumo calórico","Kalorienverbrauch","","","","","","","","","","","","","","","","","","","",""
"","repair cost","repair cost","coût de réparation","coste de reparación","Reparaturkosten","","","","","","","","","","","","","","","","","","","",""
